Code,Text,DDD,Ebene,Parent
A02AA10,Kombinationen,,5,A02AA
A02AB,Aluminium-haltige Verbindungen,,4,A02A
A02AB01,Aluminiumhydroxid,,5,A02AB
A02AB02,Algeldrat,5 g O,5,A02AB
A02AB03,Aluminiumphosphat,,5,A02AB
A02AB04,Dihydroxyaluminiumnatriumcarbonat (Carbaldrat)**,4 g O,5,A02AB
A02AB05,Aluminiumacetoacetat,,5,A02AB
A02AB06,Aloglutamol,,5,A02AB
A02AB07,Aluminiumglycinat,,5,A02AB
A02AB10,Kombinationen,,5,A02AB
A02AC,Calcium-haltige Verbindungen,,4,A02A
A02AC01,Calciumcarbonat,,5,A02AC
A02AC02,Calciumsilikat,6 g O,5,A02AC
A02AC10,Kombinationen,,5,A02AC
A02AD,"Kombinationen und Komplexe von Aluminium-, Calcium- und Magnesium-haltigen Verbindungen",,4,A02A
A02AD01,Einfache Salzkombinationen**,Standarddosis: 10 Tabletten oder 50 ml Mixtur,5,A02AD
A02AD02,Magaldrat,"3,2 g O ",5,A02AD
A02AD03,Almagat,,5,A02AD
A02AD04,Hydrotalcit,"3,5 g O ",5,A02AD
A02AD05,Almasilat,4 g O ,5,A02AD
A02AD06,Simaldrat,5 g O ,5,A02AD
A02AD10,Aluminiumoxid in Kombination mit Magnesiumhydroxid,,5,A02AD
A02AF,Antacida mit Karminativa,,4,A02A
A02AF01,Magaldrat und Karminativa,,5,A02AF
A02AF02,Einfache Salzkombinationen und Karminativa,,5,A02AF
A02AF03,Dihydroxyaluminiumnatriumcarbonat und Karminativa,,5,A02AF
A02AF04,Simaldrat und Karminativa,,5,A02AF
A02AF05,Aluminiumhydroxid und Karminativa,,5,A02AF
A02AG,Antacida mit Spasmolytika,,4,A02A
A02AG01,"Antacida, Kombinationen mit Butinolin",,5,A02AG
A02AG02,"Antacida, Kombinationen mit Atropin",,5,A02AG
A02AG20,"Antacida, Kombinationen mit mehreren Spasmolytika",,5,A02AG
A02AH,Antacida mit Natriumbicarbonat,,4,A02A
A02AH01,Natriumhydrogencarbonat,,5,A02AH
A02AH20,Kombinationen,,5,A02AH
A02AX,"Antacida, andere Kombinationen",,4,A02A
A02AX01,"Antacida, Kombinationen mit Bismutsalzen",,5,A02AX
A02AX02,"Antacida, Kombinationen mit Lokalanästhetika",,5,A02AX
A02AX04,"Antacida, Kombinationen mit Schwefel",,5,A02AX
A02AX50,"Antacida, andere Kombinationen",,5,A02AX
A02B,MITTEL BEI PEPTISCHEM ULKUS UND GASTROOESOPHAGEALER REFLUXKRANKHEIT,,3,A02
A02BA,Histamin-H2-Rezeptorantagonisten,,4,A02B
A02BA01,Cimetidin,"0,8 g O,P",5,A02BA
A02BA02,Ranitidin,"0,3 g O,P",5,A02BA
A02BA03,Famotidin,"40 mg O,P",5,A02BA
A02BA04,Nizatidin,"0,3 g O,P",5,A02BA
A02BA05,Niperotidin,,5,A02BA
A02BA06,Roxatidin,"0,15 g O",5,A02BA
A02BA07,Ranitidinbismutcitrat,"0,8 g O",5,A02BA
A02BA08,Lafutidin,20 mg O,5,A02BA
A02BA51,"Cimetidin, Kombinationen",,5,A02BA
A02BA53,"Famotidin, Kombinationen",,5,A02BA
A02BB,Prostaglandine,,4,A02B
A02BB01,Misoprostol,"0,8 mg O",5,A02BB
A02BB02,Enprostil,70 mcg O,5,A02BB
A02BC,Protonenpumpenhemmer**,,4,A02B
A02BC01,Omeprazol,"20 mg O,P",5,A02BC
A02BC02,Pantoprazol,"40 mg O,P; 20 mg O,P ",5,A02BC
A02BC03,Lansoprazol,30 mg O; 15 mg O ,5,A02BC
A02BC04,Rabeprazol,"20 mg O; 10 mg O,P ",5,A02BC
A02BC05,Esomeprazol,"30 mg O,P; 20 mg O,P ",5,A02BC
A02BC06,Dexlansoprazol,30 mg O,5,A02BC
A02BC07,Dexrabeprazol,,5,A02BC
A02BC08,Vonoprazan,,5,A02BC
A02BC53,"Lansoprazol, Kombinationen",,5,A02BC
A02BC54,"Rabeprazol, Kombinationen",,5,A02BC
A02BD,Kombinationen zur Eradikation von Helicobacter pylori,,4,A02B
A02BD01,"Omeprazol, Amoxicillin und Metronidazol",,5,A02BD
A02BD02,"Lansoprazol, Tetracyclin und Metronidazol",,5,A02BD
A02BD03,"Lansoprazol, Amoxicillin und Metronidazol",,5,A02BD
A02BD04,"Pantoprazol, Amoxicillin und Clarithromycin",Kombinationspackung: 6 DE O ,5,A02BD
A02BD05,"Omeprazol, Amoxicillin und Clarithromycin",Kombinationspackung: 6 DE O ,5,A02BD
A02BD06,"Esomeprazol, Amoxicillin und Clarithromycin",,5,A02BD
A02BD07,"Lansoprazol, Amoxicillin und Clarithromycin",,5,A02BD
A02BD08,"Bismutsubcitrat, Tetracyclin und Metronidazol",Kombinationspackung: 12 DE O ,5,A02BD
A02BD09,"Lansoprazol, Clarithromycin und Tinidazol",,5,A02BD
A02BD10,"Lansoprazol, Amoxicillin und Levofloxacin",,5,A02BD
A02BD11,"Pantoprazol, Amoxicillin, Clarithromycin und Metronidazol",,5,A02BD
A02BD12,"Rabeprazol, Amoxicillin und Clarithromycin",,5,A02BD
A02BD13,"Rabeprazol, Amoxicillin und Metronidazol",,5,A02BD
A02BD14,"Vonoprazan, Amoxicillin und Clarithromycin",,5,A02BD
A02BD15,"Vonoprazan, Amoxicillin und Metronidazol",,5,A02BD
A02BX,Andere Mittel bei peptischem Ulkus und gastrooesophagealer Refluxkrankheit,,4,A02B
A02BX01,Carbenoxolon,"0,15 g O",5,A02BX
A02BX02,Sucralfat,4 g O,5,A02BX
A02BX03,Pirenzepin,"0,1 g O; 20 mg P",5,A02BX
A02BX04,Methiosulfoniumchlorid,,5,A02BX
A02BX05,Bismutsubcitrat,"0,48 g O",5,A02BX
A02BX06,Proglumid,"1,2 g O",5,A02BX
A02BX07,Gefarnat,,5,A02BX
A02BX08,Sulglicotid,,5,A02BX
A02BX09,Acetoxolon,,5,A02BX
A02BX10,Zolimidin,,5,A02BX
A02BX11,Troxipid,,5,A02BX
A02BX12,Bismutsubnitrat,,5,A02BX
A02BX13,Alginsäure,,5,A02BX
A02BX14,Rebamipid,"0,3 g O",5,A02BX
A02BX15,Silbereiweiß-Acetyltannat,,5,A02BX
A02BX17,Bismut(III)-citrat-hydroxid-Komplex,,5,A02BX
A02BX18,Dibismut-tris(tetraoxodialuminat),,5,A02BX
A02BX22,Bismutsubsalicylat,,5,A02BX
A02BX50,"Andere Ulkustherapeutika, Kombinationen exkl. Psycholeptika",,5,A02BX
A02BX51,"Carbenoxolon, Kombinationen exkl. Psycholeptika",,5,A02BX
A02BX62,"Bismutsubnitrat, Kombinationen exkl. Psycholeptika",,5,A02BX
A02BX63,"Alginsäure, Kombinationen",Standarddosis: 10 Tabletten oder 50 ml Mixtur O ,5,A02BX
A02BX70,"Andere Ulkustherapeutika, Kombinationen mit Psycholeptika",,5,A02BX
A02BX71,"Carbenoxolon, Kombinationen mit Psycholeptika",,5,A02BX
A02BX77,"Gefarnat, Kombinationen mit Psycholeptika",,5,A02BX
A02X,ANDERE MITTEL BEI SÄURE BEDINGTEN ERKRANKUNGEN,,3,A02
A02XA,Andere Mittel bei Säure bedingten Erkrankungen,,4,A02X
A02XA01,Kälberblutextrakt,,5,A02XA
A02XA03,Guajazulen,,5,A02XA
A02XA52,"Benzocain, Kombinationen",,5,A02XA
A02XA53,"Guajazulen, Kombinationen",,5,A02XA
A02XH,Andere homöopathische und anthroposophische Mittel bei Säure bedingten Erkrankungen,,4,A02X
A02XH01,Nux vomica,,5,A02XH
A02XH20,Kombinationen,,5,A02XH
A02XH50,Kombinationen mit anderen Mitteln,,5,A02XH
A02XP,Andere pflanzliche Mittel bei Säure bedingten Erkrankungen,,4,A02X
A02XP30,Kombinationen,,5,A02XP
A03,MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN,,2,A
A03A,MITTEL BEI FUNKTIONELLEN GASTROINTESTINALEN STÖRUNGEN,,3,A03
A03AA,"Synthetische Anticholinergika, Ester mit tertiären Aminogruppen",,4,A03A
A03AA01,Oxyphencyclimin,20 mg O,5,A03AA
A03AA03,Camylofin,"0,2 g O,R",5,A03AA
A03AA04,Mebeverin,"0,3 g O; 0,4 g O ",5,A03AA
A03AA05,Trimebutin,"0,6 g O",5,A03AA
A03AA06,Rociverin,,5,A03AA
A03AA07,Dicycloverin,"80 mg O,P",5,A03AA
A03AA08,Dihexyverin,,5,A03AA
A03AA09,Difemerin,,5,A03AA
A03AA30,Piperidolat,,5,A03AA
A03AA31,Phenamazid,,5,A03AA
A03AB,"Synthetische Anticholinergika, quartäre Ammonium-Verbindungen",,4,A03A
A03AB01,Benzilon,70 mg O,5,A03AB
A03AB02,Glycopyrroniumbromid,"3 mg O,R; 0,3 mg P; 2,4 mg O Kinder DDD bezogen auf Glycopyrronium ",5,A03AB
A03AB03,Oxyphenonium,25 mg O,5,A03AB
A03AB04,Penthienat,15 mg O,5,A03AB
A03AB05,Propanthelin,"60 mg O,P",5,A03AB
A03AB06,Otiloniumbromid,,5,A03AB
A03AB07,Methanthelinium,"0,15 g O",5,A03AB
A03AB08,Tridihexethyl,"0,125 g O",5,A03AB
A03AB09,Isopropamid,10 mg O,5,A03AB
A03AB10,Hexocyclium,"0,15 g O",5,A03AB
A03AB11,Poldin,12 mg O,5,A03AB
A03AB12,Mepenzolat,"0,1 g O",5,A03AB
A03AB13,Bevonium,"0,2 g O",5,A03AB
A03AB14,Pipenzolat,20 mg O,5,A03AB
A03AB15,Diphemanil,,5,A03AB
A03AB16,(2-Benzhydryloxyethyl)diethylmethylammoniumiodid,"0,3 g O",5,A03AB
A03AB17,Tiemoniumiodid,,5,A03AB
A03AB18,Prifiniumbromid,,5,A03AB
A03AB19,Timepidiumbromid,,5,A03AB
A03AB20,Trospium,,5,A03AB
A03AB21,Fenpiverinium,,5,A03AB
A03AB53,"Oxyphenonium, Kombinationen",,5,A03AB
A03AC,"Synthetische Spasmolytika, Amide mit tertiären Aminen",,4,A03A
A03AC02,Dimethylaminopropionylphenothiazin,,5,A03AC
A03AC04,Nicofetamid,,5,A03AC
A03AC05,Tiropramid,,5,A03AC
A03AD,Papaverin und Derivate,,4,A03A
A03AD01,Papaverin,"0,1 g O,P",5,A03AD
A03AD02,Drotaverin,"0,1 g O,P",5,A03AD
A03AD30,Moxaverin,50 mg O,5,A03AD
A03AE,Serotonin-Rezeptorantagonisten,,4,A03A
A03AE01,Alosetron,1 mg O,5,A03AE
A03AE03,Cilansetron,,5,A03AE
A03AH,Andere homöopathische und anthroposophische Mittel bei funktionellen gastrointestinalen Störungen,,4,A03A
A03AH01,Carum Carvi,,5,A03AH
A03AH10,Verschiedene,,5,A03AH
A03AH20,Kombinationen,,5,A03AH
A03AP,Andere pflanzliche Mittel bei funktionellen gastrointestinalen Störungen,,4,A03A
A03AP01,Pfefferminzblätter,,5,A03AP
A03AP02,Kamillenblüten,,5,A03AP
A03AP03,Fenchelfrüchte,,5,A03AP
A03AP04,Melissenblätter,,5,A03AP
A03AP11,Sonstige,,5,A03AP
A03AP30,Kombinationen,,5,A03AP
A03AX,Andere Mittel bei funktionellen gastrointestinalen Störungen,,4,A03A
A03AX01,Fenpipran,,5,A03AX
A03AX02,Diisopromin,,5,A03AX
A03AX03,Chlorbenzoxamin,"0,15 g O",5,A03AX
A03AX04,Pinaverium,"0,15 g O",5,A03AX
A03AX05,Fenoverin,,5,A03AX
A03AX06,Idanpramin,,5,A03AX
A03AX07,Proxazol,,5,A03AX
A03AX08,Alverin,,5,A03AX
A03AX09,Trepibuton,,5,A03AX
A03AX10,Isomethepten,,5,A03AX
A03AX11,Caroverin,,5,A03AX
A03AX12,Phloroglucinol,,5,A03AX
A03AX13,Silikone,"0,5 g O",5,A03AX
A03AX14,Valethamat,,5,A03AX
A03AX15,Cholinsalze,,5,A03AX
A03AX20,Kombinationen,,5,A03AX
A03AX30,Trimethyldiphenylpropylamin,"50 mg O,P",5,A03AX
A03AX31,Pramiverin,,5,A03AX
A03AX32,Denaverin,,5,A03AX
A03AX33,Dipiproverin,,5,A03AX
A03AX50,"Andere Mittel bei funktionellen gastrointestinalen Störungen, Kombinationen",,5,A03AX
A03AX58,"Alverin, Kombinationen",,5,A03AX
A03AX63,"Silikone, Kombinationen",,5,A03AX
A03B,"BELLADONNA UND DERIVATE, REIN",,3,A03
A03BA,"Belladonna-Alkaloide, tertiäre Amine",,4,A03B
A03BA01,Atropin,"1,5 mg O,P",5,A03BA
A03BA03,Hyoscyamin,"1,2 mg O",5,A03BA
A03BA04,Belladonna-Gesamtalkaloide,1 mg O,5,A03BA
A03BA20,Kombinationen,,5,A03BA
A03BB,"Belladonna-Alkaloide, halbsynthetisch, quartäre Ammonium-Verbindungen",,4,A03B
A03BB01,Butylscopolamin,"60 mg O,P,R",5,A03BB
A03BB02,Methylatropin,3 mg O,5,A03BB
A03BB03,Methylscopolamin,"12 mg O,P",5,A03BB
A03BB04,Fentonium,60 mg O,5,A03BB
A03BB05,Cimetropiumbromid,,5,A03BB
A03BB06,Homatropinmethylbromid,,5,A03BB
A03C,SPASMOLYTIKA IN KOMBINATION MIT PSYCHOLEPTIKA,,3,A03
A03CA,Synthetische Anticholinergika in Kombination mit Psycholeptika,,4,A03C
A03CA01,Isopropamid und Psycholeptika,,5,A03CA
A03CA02,Clidinium und Psycholeptika,,5,A03CA
A03CA03,Oxyphencyclimin und Psycholeptika,,5,A03CA
A03CA04,Otiloniumbromid und Psycholeptika,,5,A03CA
A03CA05,Glycopyrroniumbromid und Psycholeptika,,5,A03CA
A03CA06,Bevonium und Psycholeptika,,5,A03CA
A03CA07,Ambutonium und Psycholeptika,,5,A03CA
A03CA08,Diphemanil und Psycholeptika,,5,A03CA
A03CA09,Pipenzolat und Psycholeptika,,5,A03CA
A03CA30,Emepronium und Psycholeptika,,5,A03CA
A03CA34,Propanthelin und Psycholeptika,,5,A03CA
A03CA39,Moxaverin und Psycholeptika,,5,A03CA
A03CA42,Tridihexethyl und Psycholeptika,,5,A03CA
A03CA43,Benactyzin und Psycholeptika,,5,A03CA
A03CB,Belladonna und Derivate in Kombination mit Psycholeptika,,4,A03C
A03CB01,Methylscopolamin und Psycholeptika,,5,A03CB
A03CB02,Belladonna-Gesamtalkaloide und Psycholeptika,,5,A03CB
A03CB03,Atropin und Psycholeptika,,5,A03CB
A03CB04,Homatropinmethylbromid und Psycholeptika,,5,A03CB
A03CB31,Hyoscyamin und Psycholeptika,,5,A03CB
A03CB37,Xenytropiumbromid und Psycholeptika,,5,A03CB
A03CB38,Butylscopolamin und Psycholeptika,,5,A03CB
A03CC,Andere Spasmolytika in Kombination mit Psycholeptika,,4,A03C
A03D,SPASMOLYTIKA IN KOMBINATION MIT ANALGETIKA,,3,A03
A03DA,Synthetische Anticholinergika in Kombination mit Analgetika,,4,A03D
A03DA01,Tropenzilon und Analgetika,,5,A03DA
A03DA02,Pitofenon und Analgetika,,5,A03DA
A03DA03,Bevonium und Analgetika,,5,A03DA
A03DA04,Ciclonium und Analgetika,,5,A03DA
A03DA05,Camylofin und Analgetika,,5,A03DA
A03DA06,Trospium und Analgetika,,5,A03DA
A03DA07,Tiemoniumiodid und Analgetika,,5,A03DA
A03DA08,Barverin und Analgetika,,5,A03DA
A03DA09,Ambucetamid und Analgetika,,5,A03DA
A03DA12,Drofenin und Analgetika,,5,A03DA
A03DB,Belladonna und Derivate in Kombination mit Analgetika,,4,A03D
A03DB04,Butylscopolamin und Analgetika,,5,A03DB
A03DC,Andere Spasmolytika in Kombination mit Analgetika,,4,A03D
A03DC02,Tropinbenzilat und Analgetika,,5,A03DC
A03DC04,Pramiverin und Analgetika,,5,A03DC
A03DC05,Ethaverin und Analgetika,,5,A03DC
A03E,SPASMOLYTIKA UND ANTICHOLINERGIKA IN KOMBINATION MIT ANDEREN MITTELN,,3,A03
A03EA,"Spasmolytika, Psycholeptika und Analgetika in Kombination",,4,A03E
A03EA01,"Ciclonium, Kombinationen",,5,A03EA
A03EA02,"Butylscopolamin, Kombinationen",,5,A03EA
A03EA03,"Tropinbenzilat, Kombinationen",,5,A03EA
A03EA04,"Trospiumchlorid, Kombinationen",,5,A03EA
A03EA05,"Drofenin, Kombinationen",,5,A03EA
A03EA06,"Ethaverin, Kombinationen",,5,A03EA
A03EA40,"Fencarbamid, Kombinationen",,5,A03EA
A03ED,Spasmolytika in Kombination mit anderen Mitteln,,4,A03E
A03ED01,Benzylmandelat in Kombination mit anderen Mitteln,,5,A03ED
A03ED02,Ethaverin in Kombination mit anderen Mitteln,,5,A03ED
A03ED04,Butinolin in Kombination mit anderen Mitteln,,5,A03ED
A03F,PROKINETIKA,,3,A03
A03FA,Prokinetika,,4,A03F
A03FA01,Metoclopramid,"30 mg O,P,R; 10 mg R Kinder DDD ",5,A03FA
A03FA02,Cisaprid,"30 mg O,R",5,A03FA
A03FA03,Domperidon,"30 mg O,P; 0,12 g R",5,A03FA
A03FA04,Bromoprid,"20 mg O,P",5,A03FA
A03FA05,Alizaprid,"0,15 g O,P",5,A03FA
A03FA06,Cleboprid,,5,A03FA
A03FA07,Itoprid,,5,A03FA
A03FA08,Cinitaprid,,5,A03FA
A03FA09,Mosaprid,,5,A03FA
A03FA13,Dexpanthenol,,5,A03FA
A03FA51,"Metoclopramid, Kombinationen",,5,A03FA
A03FA54,"Bromoprid, Kombinationen",,5,A03FA
A03FP,Pflanzliche Prokinetika,,4,A03F
A03FP30,Kombinationen,,5,A03FP
A03H,ANDERE HOMÖOPATHISCHE UND ANTHROPOSOPHISCHE ZUBEREITUNGEN,,3,A03
A03HH,Homöopathische und anthroposophische Spasmolytika,,4,A03H
A03HH10,Verschiedene,,5,A03HH
A03HH20,Kombinationen,,5,A03HH
A03P,ANDERE PFLANZLICHE ZUBEREITUNGEN,,3,A03
A03PP,Pflanzliche Spasmolytika,,4,A03P
A03PP01,Mohnkapsel,,5,A03PP
A03PP02,Schöllkraut,"3,5 g O Droge; 21 mg O Gesamtalkaloide, berechnet als Chelidonin ",5,A03PP
A03PP03,Boldoblätter,,5,A03PP
A04,ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT,,2,A
A04A,ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT,,3,A04
A04AA,Serotonin-5HT3-Rezeptorantagonisten,,4,A04A
A04AA01,Ondansetron,"16 mg O,P,R",5,A04AA
A04AA02,Granisetron,"2 mg O; 3 mg P; 3,1 mg TD Pflaster bezogen auf die Freisetzungsrate 
pro 24 Stunden",5,A04AA
A04AA03,Tropisetron,"5 mg O,P",5,A04AA
A04AA04,Dolasetron,"0,2 g O; 0,1 g P",5,A04AA
A04AA05,Palonosetron,"0,5 mg O; 0,25 mg P",5,A04AA
A04AA55,"Palonosetron, Kombinationen","0,5 mg O bezogen auf Palonosetron ",5,A04AA
A04AB,Antihistaminika,,4,A04A
A04AB02,Dimenhydrinat,"0,275 g O; 0,2 g R ",5,A04AB
A04AB03,Thiethylperazin,,5,A04AB
A04AB04,Meclozin,"37,5 mg O; 50 mg R ",5,A04AB
A04AB05,Diphenhydramin,,5,A04AB
A04AB52,"Dimenhydrinat, Kombinationen",,5,A04AB
A04AB54,"Meclozin, Kombinationen","37,5 mg O bezogen auf Meclozin; 50 mg R bezogen auf Meclozin ",5,A04AB
A04AB55,"Diphenhydramin, Kombinationen",,5,A04AB
A04AB56,"Doxylamin, Kombinationen",,5,A04AB
A04AB57,"Chlorphenoxamin, Kombinationen",,5,A04AB
A04AB58,"Promethazin, Kombinationen",,5,A04AB
A04AD,Andere Antiemetika,,4,A04A
A04AD01,Scopolamin,,5,A04AD
A04AD02,Ceriumoxalat,,5,A04AD
A04AD04,Chlorbutanol,,5,A04AD
A04AD05,Metopimazin,"15 mg O,P",5,A04AD
A04AD06,Triflupromazin,,5,A04AD
A04AD08,Chlorphenethazin,,5,A04AD
A04AD10,Dronabinol,,5,A04AD
A04AD11,Nabilon,3 mg O,5,A04AD
A04AD12,"Aprepitant, Fosaprepitant","165 mg O Eindosisbehandlung; 150 mg P bezogen auf Fosaprepitant; 
95 mg O; 70 mg O Kinder DDD ",5,A04AD
A04AD13,Casopitant,,5,A04AD
A04AD14,Rolapitant,"0,18 g O Eindosisbehandlung",5,A04AD
A04AD50,"Andere Antiemetika, Kombinationen",,5,A04AD
A04AD51,"Scopolamin, Kombinationen",,5,A04AD
A04AD54,"Chlorbutanol, Kombinationen",,5,A04AD
A04AH,Homöopathische und anthroposophische Antiemetika,,4,A04A
A04AH10,Verschiedene homöopathische und anthroposophische Antiemetika,,5,A04AH
A04AH20,Kombinationen,,5,A04AH
A04AP,Pflanzliche Antiemetika,,4,A04A
A04AP01,Ingwerwurzelstock,,5,A04AP
A05,GALLEN- UND LEBERTHERAPIE,,2,A
A05A,GALLENTHERAPIE,,3,A05
A05AA,Gallensäuren und Derivate,,4,A05A
A05AA01,Chenodeoxycholsäure,1 g O,5,A05AA
A05AA02,Ursodeoxycholsäure,"0,75 g O",5,A05AA
A05AA03,Cholsäure,"0,25 g O Kinder DDD ",5,A05AA
A05AA04,Obeticholsäure,10 mg O,5,A05AA
A05AA05,Gesamtgallensäuren (Fel tauri),,5,A05AA
A05AA11,Dehydrocholsäure,,5,A05AA
A05AA20,Kombinationen,,5,A05AA
A05AA55,"Gesamtgallensäuren, Kombinationen",,5,A05AA
A05AA66,"Dehydrocholsäure, Kombinationen",,5,A05AA
A05AB,Zubereitungen zur Gallentherapie,,4,A05A
A05AB01,N-(Hydroxymethyl)nicotinamid,,5,A05AB
A05AB20,Kombinationen,,5,A05AB
A05AC,Gallentherapeutika in Kombination,,4,A05A
A05AC01,Gallentherapeutika in Kombination mit Spasmolytika,,5,A05AC
A05AH,Homöopathische und anthroposophische Mittel zur Gallentherapie,,4,A05A
A05AH20,Kombinationen,,5,A05AH
A05AP,Pflanzliche Mittel zur Gallentherapie,,4,A05A
A05AP01,Schwarzrettichwurzel,,5,A05AP
A05AP03,Artischockenblätter,6 g O Droge; 30 g O Frischpflanze ,5,A05AP
A05AP04,Erdrauchkraut,,5,A05AP
A05AP05,Pfefferminzöl,,5,A05AP
A05AP06,Löwenzahnwurzel mit -kraut,,5,A05AP
